ID,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,Unit,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Metric
Beer_Annual Production_VN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,167.0,160.0,163.0,155.0,82.0,64.0,120.0,161.0,488.0,350.0,446.0,547.0,647.0,728.0,768.0,880.0,905.0,893.0,942.0,600.0,590.0,558.0,527.0,845.0,866.0,872.0,840.0,976.0,892.0,1000.0,1312.0,1685.0,,1782.0,4650.0,5330.0,5810.0,6700.0,6480.0,7791.0,8712.0,9398.0,11189.0,13428.0,14606.0,15472.0,16553.0,in thousand hectolitres,Beer,Vietnam,VN,National,Mitchell,Annual Production
