ID,1917,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,Unit,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Metric
Beer_Annual Production_TZ,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,4.0,6.0,8.0,9.0,10.0,10.0,10.0,12.0,15.0,18.0,25.0,24.0,29.0,34.0,41.0,49.0,58.0,47.0,45.0,60.0,66.0,80.0,89.0,101.0,122.0,188.0,230.0,243.0,328.0,386.0,539.0,648.0,693.0,699.0,642.0,664.0,741.0,815.0,752.0,638.0,643.0,642.0,650.0,670.0,758.0,652.0,588.0,530.0,537.0,450.0,498.0,493.0,570.0,582.0,573.0,551.0,631.0,665.0,1674.0,1830.0,1756.0,1759.0,1941.0,2026.0,2166.0,2990.0,3102.0,in thousand hectolitres,Beer,Tanzania,TZ,National,Mitchell,Annual Production
