ID,1910,1911,1912,1913,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,Unit,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Metric
Synthetic Filaments_Annual Production_RO,,,,,,,,,,,,,,,,,,,,,,0.3,0.6,0.8,1.2,0.9,1.0,1.2,2.0,1.1,1.4,1.3,1.4,1.3,1.4,1.4,1.9,2.5,2.2,2.5,2.6,2.6,2.7,3.0,3.4,4.1,4.6,4.9,5.7,6.3,20.9,34.3,47.3,53.6,56.5,76.6,95.3,99.6,116.0,143.0,148.0,179.0,183.0,192.0,205.0,200.0,220.0,211.0,218.0,234.0,258.0,303.0,289.0,297.0,276.0,209.0,142.0,113.0,101.0,thousand metric tons,Synthetic Filaments,Romania,RO,National,Mitchell,Annual Production
