ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Iron Ore_Annual production_IN,53700000.0,56900000.0,54900000.0,57400000.0,60500000.0,65200000.0,66700000.0,69500000.0,72500000.0,70200000.0,76000000.0,79200000.0,86400000.0,99100000.0,121000000.0,152000000.0,177000000.0,207000000.0,215000000.0,225000000.0,230000000.0,240000000.0,India,IN,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_ID,145000.0,173000.0,288000.0,341000.0,335000.0,366000.0,425000.0,516000.0,560000.0,584000.0,489000.0,469000.0,379000.0,245000.0,89700.0,32200.0,88000.0,61100.0,65000.0,44600.0,45600.0,46000.0,Indonesia,ID,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_IR,3240000.0,4890000.0,5650000.0,9870000.0,8690000.0,9080000.0,9850000.0,12800000.0,10500000.0,10800000.0,12400000.0,14000000.0,16900000.0,18300000.0,18200000.0,19000000.0,26200000.0,31500000.0,32000000.0,26000000.0,28000000.0,28000000.0,Iran,IR,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_JP,34000.0,31000.0,40000.0,11000.0,3000.0,3000.0,4000.0,4000.0,1720.0,1000.0,1450.0,750.0,,,,,,,,,,,Japan,JP,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_KZ,,,17300000.0,13100000.0,10500000.0,14900000.0,13000000.0,12600000.0,8690000.0,9090000.0,16200000.0,14100000.0,15400000.0,19300000.0,20400000.0,19500000.0,22300000.0,23800000.0,21500000.0,22300000.0,24200000.0,24800000.0,Kazakhstan,KZ,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_KE,,,,,,,,,,,790.0,920.0,900.0,700.0,500.0,,,,700.0,11000.0,11000.0,11000.0,Kenya,KE,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_KP,10000000.0,10000000.0,10500000.0,10500000.0,11000000.0,11000000.0,11000000.0,10000.0,2900000.0,3800000.0,3800000.0,4200000.0,4100000.0,4430000.0,4580000.0,5000000.0,5040000.0,5130000.0,5140000.0,5300000.0,5300000.0,5300000.0,"Korea, North",KP,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_KR,298000.0,222000.0,222000.0,219000.0,191000.0,184000.0,440000.0,500000.0,486000.0,410000.0,336000.0,195000.0,157000.0,174000.0,226000.0,213000.0,227000.0,291000.0,366000.0,455000.0,513000.0,510000.0,"Korea, Republic of",KR,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_LR,4050000.0,1100000.0,1740000.0,,,,,,,,,,,,,,,,,,,,Liberia,LR,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_MK,,,20000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,,,,,,Macedonia,MK,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_MY,344000.0,376000.0,320000.0,246000.0,243000.0,202000.0,325000.0,269000.0,376000.0,337000.0,259000.0,376000.0,404000.0,597000.0,664000.0,950000.0,667000.0,802000.0,982000.0,1470000.0,3470000.0,7700000.0,Malaysia,MY,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_MR,11600000.0,10200000.0,8200000.0,9360000.0,11400000.0,11600000.0,11400000.0,11700000.0,11400000.0,10400000.0,11300000.0,10300000.0,9550000.0,10400000.0,10500000.0,11100000.0,10700000.0,11800000.0,11000000.0,10300000.0,11500000.0,12000000.0,Mauritania,MR,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_MX,15000000.0,9990000.0,11000000.0,11400000.0,9190000.0,9380000.0,10200000.0,10500000.0,10600000.0,11500000.0,11300000.0,8780000.0,9940000.0,11300000.0,11500000.0,11700000.0,11000000.0,10900000.0,11700000.0,11700000.0,14000000.0,14500000.0,Mexico,MX,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_MN,,,,,,,,,,,,,,,33000.0,168000.0,180000.0,265000.0,1390000.0,1380000.0,3200000.0,3000000.0,Mongolia,MN,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_MA,148000.0,99000.0,83000.0,66000.0,64000.0,47000.0,12000.0,12000.0,9290.0,7000.0,6460.0,7980.0,8740.0,6300.0,9900.0,9900.0,8820.0,9000.0,9000.0,30500.0,44700.0,45000.0,Morocco,MA,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_NZ,2300000.0,2270000.0,2930000.0,2390000.0,2080000.0,2360000.0,2330000.0,2480000.0,2120000.0,2300000.0,2690000.0,1640000.0,1740000.0,1950000.0,2330000.0,2270000.0,2150000.0,1720000.0,2020000.0,2090000.0,2440000.0,2300000.0,New Zealand,NZ,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_NG,374000.0,398000.0,400000.0,400000.0,400000.0,168000.0,100000.0,50000.0,,,25000.0,25000.0,25000.0,,,60000.0,88200.0,57900.0,61800.0,61000.0,50000.0,,Nigeria,NG,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_NO,2080000.0,2210000.0,2260000.0,2160000.0,2360000.0,2010000.0,1710000.0,770000.0,637000.0,520000.0,543000.0,500000.0,515000.0,500000.0,600000.0,620000.0,620000.0,620000.0,668000.0,711000.0,712000.0,700000.0,Norway,NO,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_PK,,,,,,,,,,,,,40000.0,40000.0,50000.0,50000.0,130000.0,207000.0,250000.0,270000.0,290000.0,300000.0,Pakistan,PK,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_PE,3310000.0,3590000.0,2850000.0,4930000.0,7430000.0,6240000.0,4360000.0,4440000.0,4440000.0,3950000.0,4140000.0,4560000.0,4590000.0,5240000.0,6440000.0,6810000.0,7140000.0,7610000.0,7820000.0,6700000.0,9160000.0,10500000.0,Peru,PE,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_PL,2000.0,,,,,,,,,,,,,,,,,,,,,,Poland,PL,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_PT,14000.0,16000.0,15000.0,16000.0,14000.0,15000.0,19000.0,18000.0,16000.0,16000.0,15000.0,14500.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,Portugal,PT,National,USGS,metric tons,Annual production,Iron Ore
