ID,2013,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Hydrogen Storage_Cumulative Rated Power_DE,8720.0,9520.0,15520.0,Hydrogen Storage,Germany,kW,GESDB,Cumulative Rated Power,National,DE
Hydrogen Storage_Cumulative Rated Capacity_DE,35080.0,35080.0,61060.0,Hydrogen Storage,Germany,kWh,GESDB,Cumulative Rated Capacity,National,DE
