ID,2006,2009,2013,2014,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-Acid Battery Storage_Cumulative Rated Power_GB,5.0,17.0,62.0,107.0,Lead-Acid Battery Storage,United Kingdom,kW,GESDB,Cumulative Rated Power,National,GB
Lead-Acid Battery Storage_Cumulative Rated Capacity_GB,25.0,85.0,250.15,415.3,Lead-Acid Battery Storage,United Kingdom,kWh,GESDB,Cumulative Rated Capacity,National,GB
