ID,1988,1990,1995,1996,1998,2000,2002,2003,2006,2007,2008,2010,2011,2013,2014,2016,2017,2019,2020,2021,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_IL,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,3,2,4,Israel,National,IL,UNOOSA,Total Number,-,Objects Launched Into Space
