ID,2014,2015,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_PG,1,1,Papua New Guinea,National,PG,UNOOSA,Total Number,-,Objects Launched Into Space
