ID,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Low-Density Polyethylene_Price_World,232.5981946519083,230.19780042476336,199.67637433008878,163.9690828501923,148.22361048136096,129.63502870572486,118.84395161536982,118.9313060297633,119.52276462300297,99.77293403082841,81.3087078810503,79.54175471390533,79.17869446028108,75.67556231535504,71.10181332806214,PCDB,Price,Low-Density Polyethylene,Global,World,World,2022 USD/lb
Low-Density Polyethylene_Annual production_World,794.3,1079.6,1112.7,1319.6,1592.5,1745.0,1995.1,2262.9,2647.6,2716.4,3306.5,3880.3,4239.6,4491.5,5274.2,PCDB,Annual production,Low-Density Polyethylene,Global,World,World,million pounds
