ID,2005,2009,2011,2012,2015,2020,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_IR,1,1,1,1,1,1,2,Iran,National,IR,UNOOSA,Total Number,-,Objects Launched Into Space
