ID,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Technology Name,Data Source,Country Name,Country Code,Spatial Scale,Unit,Metric
Lead_Annual production_US,580105.4542069993,576722.9151154133,578414.1846612062,580105.4542069993,620695.9233060313,619004.6537602382,639299.8883097543,693420.5137751303,713715.7483246463,720480.8265078183,759380.0260610573,786440.3387937454,772910.1824274013,769527.6433358153,886225.2419955324,920050.6329113924,874386.3551749814,1009687.9188384215,1033365.6924795235,764453.8346984363,855782.3901712584,696803.0528667163,847326.0424422934,982627.6061057334,1111164.0915860015,1202492.6470588236,1258304.5420699925,1244774.3857036484,1243083.1161578556,1224479.1511541326,1019835.5361131794,708641.9396872673,470172.9337304542,444803.89054355916,498924.5160089352,520911.02010424423,627461.0014892033,755997.4869694713,620695.9233060313,772910.1824274013,859164.9292628444,931889.5197319434,943728.4065524944,813500.6515264333,794896.6865227104,761071.2956068503,591944.3410275503,801661.7647058823,769527.6433358153,871003.8160833954,862547.4683544304,734010.9828741623,808426.8428890543,806735.5733432614,833795.8860759493,828722.0774385703,852399.8510796723,849017.3119880863,745849.8696947133,542897.5241995532,355166.6046165301,727245.9046909903,619004.6537602382,619004.6537602382,690037.9746835442,651138.7751303053,693420.5137751303,652830.0446760983,823648.2688011914,1004614.1102010424,1058734.7356664184,1021526.8056589725,1043513.3097542814,1055352.1965748325,1048587.1183916605,979245.0670141474,1007996.6492926284,933580.7892777364,960641.1020104244,977553.7974683545,926815.7110945644,842252.2338049144,865930.0074460164,871003.8160833954,669742.7401340283,823648.2688011914,619004.6537602382,632534.8101265823,662977.6619508563,669742.7401340283,683272.8965003723,585179.2628443782,515837.2114668652,566575.2978406552,593635.6105733432,632534.8101265823,551353.8719285182,580105.4542069993,569957.8369322412,591944.3410275503,576722.9151154133,490468.1682799702,443112.6209977662,414361.03871928516,250307.89277736412,241851.5450483991,258764.2405063291,208026.1541325391,228321.38868205508,174200.76321667907,194495.99776619507,199569.8064035741,187730.9195830231,192804.7282204021,0.0,0.0,0.0,0.0,0.0,Lead,USGS,United States,US,National,metric tons,Annual production
Lead_Price_World,3382.5390915860016,3213.4121370067014,2875.158227848101,2875.158227848101,2875.158227848101,3044.285182427401,3889.919955323902,3551.6660461653014,2875.158227848101,2875.158227848101,2875.158227848101,2875.158227848101,2875.158227848101,2706.031273268801,2367.777364110201,2841.332836932241,3839.1818689501115,4092.872300819062,2875.158227848101,2046.436150409531,2486.166232315711,1598.2497207743857,2063.348845867461,2621.467795979151,2942.8090096798214,3179.586746090841,2892.070923306031,2367.777364110201,2232.475800446761,2435.4281459419212,2029.5234549516008,1708.1822412509307,1408.8275316455695,1809.6584139985107,1742.0076321667907,1809.6584139985107,2063.348845867461,2519.991623231571,2029.5234549516008,2198.650409530901,2249.388495904691,2401.602755026061,2418.515450483991,2283.213886820551,2232.475800446761,2198.650409530901,2519.991623231571,3991.3961280714816,4549.515078183172,3923.7453462397616,3348.7137006701414,4075.9596053611317,3771.5310871183915,3061.1978778853313,3179.586746090841,3450.1898734177216,3568.5787416232315,3179.586746090841,2553.817014147431,2536.904318689501,2452.340841399851,2215.563104988831,1944.959977661951,2215.563104988831,2672.205882352941,3095.023268801191,2824.420141474311,2553.817014147431,2317.039277736411,2469.253536857781,2452.340841399851,2080.2615413253907,2181.737714072971,2232.475800446761,2773.682055100521,2435.4281459419212,2469.253536857781,3078.1105733432614,3145.7613551749814,4397.300819061802,3128.8486597170513,2435.4281459419212,1605.0147989575576,1322.5727848101264,1496.7735480268057,1079.0299702159346,1219.4053425167535,1928.0472822040208,1911.1345867460907,1928.0472822040208,2130.999627699181,1495.0822784810127,1520.4513216679077,1332.7204020848847,1525.5251303052867,1687.8870067014147,1894.2218912881608,1775.8330230826507,1689.5782762472077,1593.1759121370067,1539.0552866716307,1498.4648175725986,1473.0957743857036,1446.0354616530155,1775.8330230826507,1911.1345867460907,2333.951973194341,3636.2295234549515,3399.4517870439313,2469.253536857781,3027.372486969471,3297.9756142963515,3027.372486969471,2993.5470960536113,2722.9439687267313,2333.951973194341,2384.690059568131,2841.332836932241,2689.118577810871,Lead,USGS,World,World,Global,2022 USD/metric ton,Price
Lead_Annual production_World,1266760.8897989576,,,,,,1758920.3276247208,1679430.6589724496,2164825.018615041,1792745.7185405807,1860396.5003723009,1877309.1958302308,1961872.6731198807,1944959.9776619507,,,,,,1292129.9329858525,1359780.7148175726,1324264.0543559196,1643913.9985107966,1826571.1094564407,2063348.8458674608,2384690.059568131,,2604555.1005212213,2841332.836932241,2722943.968726731,2570729.709605361,2130999.627699181,1775833.0230826507,1758920.3276247208,2029523.4549516009,2333951.973194341,2486166.232315711,,2875158.2278481014,2942809.0096798213,,,,,,2114086.9322412508,1742007.6321667908,2215563.104988831,2333951.973194341,2317039.277736411,2773682.055100521,2706031.273268801,3061197.8778853314,3162674.0506329113,3382539.091586001,3399451.7870439314,4059046.9099032017,4025221.518987342,3974483.4326135516,3923745.3462397614,4042134.2144452715,4042134.2144452715,4245086.559940432,4329650.037230082,4278911.950856292,4566427.773641102,4820118.205510052,4853943.596425912,5090721.3328369325,5479713.328369322,5733403.760238272,5902530.714817572,5834879.9329858525,5902530.714817572,5902530.714817572,5817967.237527923,6240784.623976173,5767229.151154133,5851792.628443782,5936356.105733433,5953268.801191363,5665752.978406552,5834879.9329858525,5665752.978406552,5412062.546537602,5733403.760238272,5479713.328369322,5801054.542069992,5784141.846612062,5750316.455696203,5699578.369322413,5513538.719285183,5412062.546537602,4904681.6827997025,4735554.728220402,4583340.469099032,4938507.073715562,5242935.591958302,5175284.810126582,5209110.201042443,5412062.546537602,5276760.9828741625,4820118.205510052,5412062.546537602,5327499.069247953,5868705.323901713,6139308.451228593,6274610.014892032,6562125.837676843,6392998.883097542,7035681.310498883,8033530.342516753,8591649.292628443,8337958.860759494,7830577.997021593,7627625.651526433,7847490.692479523,7830577.997021593,7272459.046909903,Lead,USGS,World,World,Global,metric tons,Annual production
