ID,1950,1960,1965,1970,1978,1982,1992,1998,2003,2005,2010,2011,Country Name,Country Code,Spatial Scale,Unit,Technology Name,Metric,Data Source
Freezer_Share of Households_US,0.06,0.22,0.26,0.3,0.38,0.42,0.371,0.349,0.369,0.366,0.379,0.358,United States,US,National,%,Freezer,Share of Households,OWID
