ID,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Technology Name,Data Source,Metric,Unit,Country Name,Country Code,Spatial Scale
Coal Production_Price_Europe,31.3,39.94,42.08,43.48,42.8,38.53,33.68,37.18,44.5,41.25,38.92,32.0,28.79,35.99,39.03423076923077,31.649615384615387,43.59788461538461,72.13433962264152,60.53923076923078,64.10807692307692,88.78519230769233,147.67365384615388,70.38884615384615,92.4996153846154,121.48000000000002,92.4996153846154,81.68903846153846,75.38076923076925,56.79403846153845,60.08564743589743,84.51041346153846,91.82705769230766,60.85524999999997,50.16426923076923,121.69980769230766,Coal Production,BP,Price,USD/metric ton,Europe,Europe,National
Coal Production_Price_North America,,,,31.591918000000003,29.01053181818182,28.534538636363642,29.853958333333335,31.716177272727272,27.00635,29.86230909090909,29.76,31.003106083333336,31.294297,29.90448041666667,50.154650000000004,33.197984409722224,38.52270579861111,64.90173993055556,70.12235520833333,57.81671568627452,49.73318235294115,117.41764441176473,60.734610192307706,67.87412249999997,84.75498245098039,67.28136607843139,69.7172329411765,67.08414083333335,51.566441923076916,51.447732692307724,63.82528980769234,72.84401163461538,57.16398379006199,42.76636996982601,68.53814227926651,Coal Production,BP,Price,USD/metric ton,North America,North America,National
Coal Production_Price_Asia,41.28166666666666,42.465833333333336,48.8625,50.814166666666665,50.29583333333334,48.45416666666667,45.711666666666666,43.66166666666666,47.575,49.53583333333333,45.52833333333333,40.50666666666667,35.740833333333335,34.58,37.961666666666666,36.899166666666666,34.74,51.34,62.91,63.03583333333333,69.86083333333333,122.81,110.10666666666668,105.185,136.20833333333334,133.61333333333332,111.15749999999998,97.65416666666668,79.47,72.96666666666667,99.16249999999998,117.39083333333333,108.58083333333332,80.5,130.36726605353132,Coal Production,BP,Price,USD/metric ton,Asia,Asia,National
Coal Production_Price_Rest of World,,,,41.96202822222222,40.702121717171714,38.506235101010105,36.41520833333333,37.51928131313131,39.693783333333336,40.21604747474748,38.06944444444445,34.50325758333333,31.94171011111111,33.491493472222224,42.383515811965815,33.91558882033476,38.95353013799858,62.79202651773236,64.52386199252136,61.65354198089492,69.45973599798894,129.30043275263952,80.41004100427351,88.51957929487179,114.14777192810459,97.79810493212669,87.52125713423833,80.03969224358976,62.610160128205116,61.50001559829061,82.49940108974359,94.02063422008546,75.53335570779842,57.81021306686508,106.86840534170183,Coal Production,BP,Price,USD/metric ton,Rest of World,Rest of World,Global
