ID,2010,2012,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-Acid Battery Storage_Cumulative Rated Power_JP,4500.0,4600.0,5095.0,Lead-Acid Battery Storage,Japan,kW,GESDB,Cumulative Rated Power,National,JP
Lead-Acid Battery Storage_Cumulative Rated Capacity_JP,10485.0,10677.0,11387.4,Lead-Acid Battery Storage,Japan,kWh,GESDB,Cumulative Rated Capacity,National,JP
