ID,2002,2010,2016,2017,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_DZ,1,1,3,1,Algeria,National,DZ,UNOOSA,Total Number,-,Objects Launched Into Space
