ID,2012,2019,2021,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_HU,1,2,2,Hungary,National,HU,UNOOSA,Total Number,-,Objects Launched Into Space
