ID,2017,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_AO,1,1,Angola,National,AO,UNOOSA,Total Number,-,Objects Launched Into Space
