ID,1966,1973,1977,1984,2019,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_AU,1700.0,1501700.0,2041700.0,2541700.0,2791700.0,Pumped Hydro Storage,Australia,kW,GESDB,Cumulative Rated Power,National,AU
Pumped Hydro Storage_Cumulative Rated Capacity_AU,0.0,0.0,0.0,5000000.0,6500000.0,Pumped Hydro Storage,Australia,kWh,GESDB,Cumulative Rated Capacity,National,AU
