ID,2021,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_PY,1,Paraguay,National,PY,UNOOSA,Total Number,-,Objects Launched Into Space
