ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Soybean Production_Price_AL,,,,,,581.5824303405573,408.01927244582043,403.40064499484,529.6836429308565,592.0351135190919,591.3058565531476,606.9848813209494,698.1420020639835,827.8281991744066,851.8936790505676,867.2080753353973,943.536971104231,1014.1533539731681,895.7706398348813,818.5909442724458,903.4278379772961,842.6564241486068,,1161.8278895768833,964.9285087719297,638.7075593395252,655.1158410732714,669.09326625387,720.3843395252838,676.3858359133127,806.4366615067079,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Albania,AL
Soybean Production_Price_AO,,,,,,,,,,,,,,,,,,,,1322.5075077399379,1293.944943240454,1515.031346749226,1259.305237358101,1236.4551857585138,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Angola,AO
Soybean Production_Price_AR,210.99834881320947,203.70577915376677,266.4218782249742,274.9298761609907,263.86947884416924,330.71803405572757,353.81117131062956,257.7923374613003,203.09806501547988,218.8986326109391,205.52892156862745,186.08206914344683,218.2909184726522,236.1577141382869,207.23052115583076,214.52309081527346,262.53250773993807,333.27043343653247,310.4203818369453,319.29300825593396,375.32425180598557,441.32200722394225,398.2958462332301,373.74419504643964,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Argentina,AR
Soybean Production_Price_AU,335.09357585139315,314.18820949432404,306.65255417956655,391.85407636738904,358.5513415892673,380.4290505675954,379.82133642930853,316.8621517027864,319.90072239422085,242.3563983488132,237.00851393188853,233.11914344685243,454.81326109391125,414.7041279669762,351.74494324045406,325.8563209494324,423.0905830753354,,522.2695304437565,,626.7963622291022,,,,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Australia,AU
Soybean Production_Price_AT,,586.2010577915377,553.8706656346749,542.688725490196,269.2173632610939,294.61981424148604,283.4378740970072,243.93645510835913,231.05291537667696,202.85497936016512,234.21302889576882,249.40588235294115,278.4546181630547,297.2937564499484,297.7799277605779,280.52084623323015,377.6335655314757,583.8917440660474,459.3103457172342,520.4463880288957,585.3502579979361,729.2569659442725,636.0336171310629,560.312435500516,430.14006707946334,448.00686274509803,473.6523993808049,492.3699948400413,427.22303921568624,487.26519607843136,710.1747420020639,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Austria,AT
Soybean Production_Price_AZ,,,,,,,,,,,,,,815.0662022703818,824.0603715170279,469.39840041279666,502.8226780185758,,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Azerbaijan,AZ
Soybean Production_Price_BD,,,,,,,,,,,,,,,,386.87082043343656,432.32783797729616,578.1792311661507,,611.6035087719298,615.9790505675954,810.8122033023736,1124.5142414860682,546.9427244582043,553.262951496388,558.1246646026832,581.7039731682147,469.1553147574819,441.4435500515996,1181.0316563467493,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Bangladesh,BD
Soybean Production_Price_BZ,,,,,,,,,,,,482.5250257997936,455.7856037151703,,,,,,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Belize,BZ
Soybean Production_Price_BT,,,,,,267.5157636738906,331.32574819401447,303.3708978328173,338.7398606811145,378.60590815273474,200.91029411764706,227.52817337461298,258.2785087719298,,,,,,,,,,871.0974458204334,975.8673632610938,2254.6194530443754,958.6082817337461,1007.8331269349845,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Bhutan,BT
Soybean Production_Price_BO,180.6126418988648,166.02750257997934,181.58498452012384,183.28658410732714,179.51875644994837,190.70069659442726,247.94736842105263,193.25309597523218,185.71744066047472,168.82298761609908,164.44744582043344,177.08789989680082,188.99909700722392,226.3127450980392,201.2749226006192,196.89938080495355,259.9801083591331,402.9144736842105,453.23320433436527,349.0710010319917,367.1808823529412,382.37373581011354,389.7878482972136,440.5927502579979,356.1204850361197,325.97786377708974,345.7893446852425,392.2187048503612,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Bolivia (Plurinational State of),BO
Soybean Production_Price_BA,,,,,,,,234.8207430340557,258.15696594427243,251.95828173374613,236.27925696594428,268.97427760577915,322.69620743034056,378.1197368421053,324.6408926728586,327.4363777089783,484.8343395252838,644.5416150670794,432.4493808049536,497.9609649122807,564.9310629514964,816.7678018575851,610.6311661506708,539.1639834881321,411.42247162022704,388.32933436532505,454.5701754385965,427.58766769865844,394.406475748194,445.94063467492253,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Bosnia and Herzegovina,BA
Soybean Production_Price_BR,145.97293601651185,169.1876160990712,191.06532507739936,223.03108875128999,214.52309081527346,281.73627450980393,302.15546955624353,235.6715428276574,176.23710010319917,189.97143962848298,183.16504127966974,208.81057791537668,243.571826625387,274.5652476780186,241.7486842105263,234.69920020639833,316.740608875129,472.1938854489164,446.30526315789473,437.55417956656345,517.0431888544891,617.0729360165118,565.5387770897833,520.8110165118679,385.412306501548,417.7426986584107,,360.8606553147574,337.64597523219817,327.31483488132096,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Brazil,BR
Soybean Production_Price_BG,,,,,,,,284.65330237358097,243.571826625387,232.38988648090813,234.21302889576882,251.593653250774,285.5041021671827,333.3919762641899,310.4203818369453,365.60082559339526,408.26235810113513,637.2490454076367,709.3239422084623,590.6981424148606,532.1144994840041,785.7743808049536,1054.1409442724457,995.192672858617,652.5634416924664,493.58542311661506,443.509778121775,477.2986842105263,404.1299019607843,474.1385706914345,670.3086945304437,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Bulgaria,BG
Soybean Production_Price_BF,,,,,,,154.72401960784313,174.53550051599586,146.58065015479875,93.83106295149639,100.27283281733746,110.72551599587203,170.03841589267287,145.36522187822496,140.5035087719298,336.1874613003096,294.1336429308565,,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Burkina Faso,BF
Soybean Production_Price_BI,,,,,,,,,,,,,,,,,,,,,,,586.2010577915377,589.3611713106295,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Burundi,BI
Soybean Production_Price_KH,,422.2397832817337,415.7980134158927,453.59783281733746,446.30526315789473,463.1997162022704,433.1786377708978,350.5295149638803,250.62131062951494,374.95962332301343,300.4538699690402,528.225128998968,394.04184726522186,428.8030959752322,374.2303663570691,370.21945304437565,569.3066047471619,912.3004643962848,696.1973168214654,723.1798245614035,870.2466460268317,863.6833333333334,,,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Cambodia,KH
Soybean Production_Price_CA,235.55,234.33457172342622,259.9801083591331,255.4830237358101,255.9691950464396,309.3264963880289,318.68529411764706,256.4553663570691,215.13080495356036,215.25234778121774,204.0704076367389,227.64971620227038,283.680959752322,323.18237874097,275.78067595459237,325.97786377708974,344.2092879256966,473.40931372549016,436.7033797729618,453.11166150670795,542.9318111455108,601.39391124871,590.6981424148606,504.0381062951496,400.7267027863777,415.3118421052631,418.22886996904026,415.6764705882353,387.8431630546956,416.16264189886476,540.2578689370484,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Canada,CA
Soybean Production_Price_CN,244.54416924664602,289.39347265221875,340.07683178534575,257.1846233230134,300.21078431372547,581.825515995872,513.153818369453,440.47120743034054,345.0600877192982,349.43562951496386,289.02884416924667,324.51934984520125,443.509778121775,550.7105521155831,487.99445304437563,501.607249742002,671.2810371517027,608.5649380804954,708.230056759546,897.5937822497419,976.2319917440661,1022.41826625387,823.9388286893704,1057.057972136223,982.309133126935,706.7715428276574,725.0029669762641,725.3675954592362,722.2074819401445,934.9074303405573,1620.1658926728585,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,"China, mainland",CN
Soybean Production_Price_CO,426.7368679050568,355.75585655314757,338.86140350877196,409.3562435500516,385.2907636738906,439.86349329205365,437.9188080495356,408.50544375644995,385.1692208462332,375.5673374613003,361.4683694530443,351.9880288957689,364.38539731682147,445.2113777089783,433.6648090815273,439.985036119711,574.8975748194015,733.2678792569659,607.2279669762642,648.6740712074304,767.6644994840042,812.6353457172343,770.824613003096,726.2183952528379,561.8924922600619,,371.92105263157896,,380.4290505675954,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Colombia,CO
Soybean Production_Price_HR,,,,385.0476780185759,395.0141898864809,405.70995872033023,375.4457946336429,367.54551083591326,292.7966718266254,232.38988648090813,230.08057275541796,237.00851393188853,289.27192982456137,323.6685500515996,316.0113519091847,320.8730650154799,549.0089525283797,632.2657894736842,466.9675438596491,506.95513415892674,553.8706656346749,734.3617647058824,643.9339009287925,495.16547987616093,426.37223942208465,415.55492776057787,490.91148090815267,435.6094943240454,399.26818885448915,467.3321723426212,802.4257481940144,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Croatia,HR
Soybean Production_Price_EC,17.38062435500516,23.457765737874098,26.25325077399381,28.319478844169247,35.00433436532508,45.57856037151703,43.02616099071207,74.50575335397316,136.49259545923633,230.9313725490196,275.90221878224975,311.14963880288957,278.3330753353973,294.1336429308565,228.50051599587204,330.47494840041276,435.9741228070175,570.4004901960784,593.4936274509804,614.5205366357069,606.2556243550051,708.230056759546,697.8989164086688,703.7329721362229,727.3122807017544,720.5058823529411,701.4236584107327,763.2889576883384,714.671826625387,617.0729360165118,659.1267543859649,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Ecuador,EC
Soybean Production_Price_EG,329.25952012383897,296.80758513931886,290.00118679050564,314.18820949432404,376.1750515995872,376.2965944272446,376.6612229102167,376.6612229102167,309.691124871001,367.54551083591326,336.5520897832817,310.66346749226005,238.9531991744066,362.9268833849329,389.0585913312694,404.49453044375645,421.26744066047473,483.4973684210526,485.8066821465428,501.3641640866873,587.294943240454,826.6127708978328,745.5437048503611,731.9309081527348,690.7278895768833,535.8823271413828,366.20853973168215,384.439963880289,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Egypt,EG
Soybean Production_Price_ET,,,,473.77394220846236,374.95962332301343,430.5046955624355,322.4531217750258,292.06741486068114,224.97577399380805,192.28075335397315,159.46418988648088,214.15846233230133,208.93212074303406,232.63297213622292,208.93212074303406,405.22378740970066,385.0476780185759,564.6879772961817,,318.80683694530444,461.7412022703818,1082.5819659442725,524.5788441692466,485.9282249742002,506.83359133126936,469.27685758513934,512.7891898864808,455.90714654282766,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Ethiopia,ET
Soybean Production_Price_FR,619.1391640866873,224.1249742002064,268.7311919504644,216.10314757481942,275.659133126935,305.43712590299276,281.3716460268318,221.45103199174406,220.84331785345717,231.78217234262124,255.9691950464396,232.02525799793602,303.4924406604747,313.9451238390093,319.29300825593396,328.6518059855521,578.0576883384933,691.2140608875129,543.5395252837977,671.645665634675,614.5205366357069,724.1521671826624,718.4396542827658,578.9084881320949,468.42605779153763,462.3489164086687,476.32634158926726,466.60291537667695,439.49886480908157,482.8896542827657,698.3850877192982,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,France,FR
