ID,2014,2019,2020,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_LT,2,2,2,3,1,Lithuania,National,LT,UNOOSA,Total Number,-,Objects Launched Into Space
