ID,2012,2013,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sensible Heat Storage_Cumulative Rated Power_IN,175.0,125175.0,Sensible Heat Storage,India,kW,GESDB,Cumulative Rated Power,National,IN
Sensible Heat Storage_Cumulative Rated Capacity_IN,8400.0,633400.0,Sensible Heat Storage,India,kWh,GESDB,Cumulative Rated Capacity,National,IN
