ID,2012,2013,2014,2015,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-Ion Battery Storage_Cumulative Rated Power_NL,400.0,450.0,620.0,10620.0,14620.0,Lithium-Ion Battery Storage,Netherlands,kW,GESDB,Cumulative Rated Power,National,NL
Lithium-Ion Battery Storage_Cumulative Rated Capacity_NL,200.0,300.0,608.8,10608.8,14608.8,Lithium-Ion Battery Storage,Netherlands,kWh,GESDB,Cumulative Rated Capacity,National,NL
