ID,2020,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_SI,2,1,Slovenia,National,SI,UNOOSA,Total Number,-,Objects Launched Into Space
