ID,1949,1960,1964,1965,1966,1968,1971,1973,1975,1978,1980,1981,1985,1991,2005,2011,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_IT,156000.0,236000.0,373200.0,409700.0,524700.0,566700.0,776700.0,2344700.0,2674700.0,2914700.0,3048700.0,4232700.0,5232700.0,6832700.0,6990700.0,7562700.0,Pumped Hydro Storage,Italy,kW,GESDB,Cumulative Rated Power,National,IT
Pumped Hydro Storage_Cumulative Rated Capacity_IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pumped Hydro Storage,Italy,kWh,GESDB,Cumulative Rated Capacity,National,IT
