ID,2007,2009,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Heat Thermal Battery Storage_Cumulative Rated Power_ES,11000.0,31000.0,Heat Thermal Battery Storage,Spain,kW,GESDB,Cumulative Rated Power,National,ES
Heat Thermal Battery Storage_Cumulative Rated Capacity_ES,5500.0,25500.0,Heat Thermal Battery Storage,Spain,kWh,GESDB,Cumulative Rated Capacity,National,ES
