ID,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Phenol_Price_World,104.26792401835799,101.8690117352219,103.0975697308432,86.89413011078403,68.01309557387279,69.5319399049423,66.52293649392752,65.14018326603846,59.84886084959467,49.46603607138018,51.37701119173373,43.84884091331361,39.30886760080622,37.8330285531361,PCDB,Price,Phenol,Global,World,World,2022 USD/lb
Phenol_Annual production_World,652.0,730.7,731.3,773.2,884.7,1062.8,1173.4,1289.5,1297.2,1463.3,1636.2,1708.2,1967.1,2051.8,PCDB,Annual production,Phenol,Global,World,World,million pounds
