ID,2012,2013,2014,2018,2019,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_PL,1,1,1,1,2,2,1,Poland,National,PL,UNOOSA,Total Number,-,Objects Launched Into Space
