ID,1995,1998,2011,2017,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_CL,1,1,1,1,3,Chile,National,CL,UNOOSA,Total Number,-,Objects Launched Into Space
