ID,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Country Name,Country Code,Data Source,Spatial Scale,Unit,Metric,Technology Name
Telegraph Traffic_Total Number_PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,0.145,0.195,0.215,0.253,0.29,0.235,0.276,0.336,,,0.356,0.344,0.358,0.366,0.385,0.362,0.38,0.395,0.352,0.396,0.432,,,0.596,0.546,0.562,0.577,0.562,0.58,0.625,0.676,0.701,0.71,0.745,0.767,0.842,0.852,0.887,0.896,1.104,1.012,1.086,1.125,1.189,,,,,,,,3.55,3.578,3.791,2.53,2.217,2.756,2.866,3.004,2.939,2.799,,,2.091,2.42,2.239,2.293,2.722,2.772,2.769,2.91,3.07,3.458,3.845,4.42,4.961,5.517,6.23,6.124,5.37,3.939,3.639,3.644,3.502,3.459,3.417,3.536,3.651,3.661,3.739,3.886,3.887,4.008,4.049,4.197,4.336,4.591,4.738,4.895,4.977,5.113,5.09,5.073,4.925,4.891,4.542,3.582,3.053,2.615,2.224,2.205,2.134,1.869,1.849,1.701,1.475,1.427,1.405,,,,,,,,,,,,,,,,,,,,,,,Portugal,PT,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,,,0.091,0.117,0.13,0.128,0.139,0.167,0.2,0.218,0.269,0.31,0.355,0.392,0.444,0.604,0.702,0.615,0.688,0.709,0.723,0.794,0.718,0.68,0.773,0.847,0.876,0.874,0.891,0.86,0.857,0.83,1.246,1.373,1.454,1.594,1.65,1.729,1.697,1.799,1.818,1.941,2.049,2.049,2.142,2.195,2.157,2.221,2.276,2.25,2.39,2.52,2.725,2.774,3.035,3.27,3.616,3.727,3.866,4.572,5.688,6.283,6.204,6.56,7.068,5.959,5.557,5.277,5.078,5.094,4.836,4.638,4.515,4.471,4.448,4.095,3.809,3.649,3.555,3.509,3.643,3.927,3.907,3.93,3.95,3.568,4.57,6.21,7.553,7.816,7.966,8.256,7.576,7.296,6.956,6.912,6.699,6.282,6.121,6.006,5.978,5.912,5.411,5.14,5.055,4.904,4.746,4.348,4.057,3.868,3.147,3.707,3.52,3.412,3.169,2.97,2.705,2.342,1.958,1.651,1.555,1.455,1.352,1.278,1.146,1.014,0.854,0.676,0.606,0.54,0.433,0.331,0.274,0.278,0.258,0.217,0.182,,,,,,,,,,,,,,,,,Norway,NO,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8229117,,,,,,0.3977647,0.3977647,0.3847941,0.3257059,0.2954412,0.3012059,0.3242647,0.3473235,0.3703823,0.3948824,0.4280294,0.4280294,0.441,0.5072941,0.6672647,0.7710294,0.8733529,0.98,1.095294,1.184647,1.129882,0.8416471,0.6960883,0.6600588,0.6413235,0.6629412,0.7292353,0.8185883,0.8430882,0.8877647,0.964147,1.020353,0.9814412,0.9511765,0.98,0.907,1.114,0.982,0.99,1.569,0.978,1.03,1.524,1.267,1.163,0.936,0.686,0.862,,,,,,0.748,0.825,0.844,0.562,,,,,,,,,,,,,,,,,,,,,,,,,,Iraq,IQ,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269,0.311,0.374,0.485,0.577,0.655,0.684,0.745,0.837,0.907,1.109,1.357,1.372,1.562,1.656,1.613,1.799,1.826,2.018,2.29,2.517,2.808,2.983,3.133,3.407,3.809,3.981,4.185,4.391,4.737,5.078,5.713,5.449,6.237,6.449,6.476,6.742,7.307,9.098,10.461,11.385,12.75,13.007,12.085,13.09,14.672,15.449,16.597,16.19,17.543,18.72,19.137,20.328,19.382,19.055,19.698,18.893,19.05,19.842,18.768,19.023,19.974,20.241,19.476,18.115,17.162,15.593,15.558,17.207,17.251,17.867,16.319,16.315,18.611,18.986,22.449,23.89,27.92,29.773,31.175,30.18,27.655,27.174,27.244,27.977,29.162,28.956,29.343,30.502,33.497,34.502,33.154,34.334,36.985,38.123,40.359,40.654,41.766,41.389,44.269,43.927,45.905,48.465,49.295,55.627,58.417,61.173,65.018,65.44,67.687,69.879,62.125,64.951,71.957,76.083,80.465,79.686,81.023,76.832,77.568,74.159,70.147,71.476,64.985,65.984,65.13,64.58,60.55,57.71,56.573,53.883,51.209,44.233,,,,,,,,,,,India,IN,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.5,0.7,1.0,1.0,1.3,1.3,1.5,1.5,2.0,1.8,2.3,2.5,2.6,4.6,4.3,4.6,5.1,5.6,5.7,6.2,6.9,7.0,7.0,7.4,7.9,8.7,9.0,7.4,3.8,6.4,5.7,4.4,9.3,9.7,10.5,10.1,9.0,8.8,9.3,10.0,9.8,10.0,10.1,10.1,10.1,9.3,8.7,9.5,10.8,12.8,14.2,14.9,14.7,15.9,16.4,18.0,23.0,27.0,28.0,32.0,27.0,31.0,32.0,33.0,36.0,35.0,37.0,38.0,39.0,42.0,38.0,38.0,39.0,39.0,41.0,41.0,,42.0,36.0,38.0,41.0,42.0,43.0,46.0,48.0,50.0,54.0,54.0,55.0,45.0,44.0,45.0,47.0,50.0,52.0,55.0,58.0,51.0,,55.0,58.0,,56.0,,,,,47.0,,,,,,,,,,,,,,,,Mexico,MX,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203,0.238,0.316,0.357,0.42,0.525,0.553,0.6,0.65,0.763,0.887,0.941,0.937,0.916,0.969,1.087,1.161,1.192,1.247,1.252,1.256,1.25,1.293,1.525,1.495,1.503,1.629,1.637,1.765,1.758,1.811,1.796,1.86,1.953,2.057,2.154,2.125,2.245,2.323,2.406,2.582,2.728,2.908,2.982,3.177,3.302,3.527,3.76,3.787,4.517,4.56,4.593,3.834,3.814,5.593,5.175,4.555,4.4,4.76,4.733,4.721,4.509,4.475,4.46,4.614,4.311,3.969,3.452,3.432,3.221,3.16,3.214,3.166,3.169,3.388,1.609,1.583,1.748,3.917,4.156,3.296,4.134,4.26,4.436,4.491,4.577,4.535,4.31,4.781,4.864,4.755,4.605,4.488,4.27,4.294,4.364,4.262,4.196,4.183,4.046,4.176,4.03,3.839,3.627,3.396,2.942,2.623,1.954,1.838,1.672,1.481,1.361,1.268,1.07,0.997,0.943,0.844,0.71,0.638,0.588,0.331,0.309,0.455,0.421,0.401,0.338,,,,,,,,,,,,,,,,,,,Denmark,DK,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0038971,0.0150857,0.0326857,,,,,,,0.1093714,0.1332571,0.1244571,0.1408,,0.176,0.202,0.239,0.257,0.29,0.318,0.322,0.274,0.172,0.131,0.115,0.117,0.129,0.16,0.153,0.172,0.241,0.37,0.437,0.505,0.54,0.595,0.565,0.61,0.414,0.447,0.701,0.97,0.748,0.817,0.875,0.937,0.973,1.008,0.912,0.945,,,,,,,1.966,1.874,1.023,1.167,1.508,1.793,1.916,1.588,1.326,1.161,0.836,0.131,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Republic of the Congo,CD,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.2,1.5,3.4,4.4,4.4,3.7,3.7,4.6,4.7,5.6,5.3,5.1,5.3,5.7,5.9,5.8,5.8,6.0,6.2,6.8,7.1,7.6,8.3,10.0,11.6,12.1,12.9,13.4,13.4,13.6,13.9,14.4,14.7,15.4,15.9,17.1,17.8,18.9,20.4,20.6,22.2,23.6,25.3,26.5,,30.7,41.4,44.8,42.3,,,10.6,14.7,10.5,5.0,4.7,4.9,5.3,5.0,5.0,5.0,4.5,3.4,2.6,2.4,2.3,2.3,2.4,2.6,2.9,3.7,4.7,7.1,8.6,,,,4.2,4.2,5.4,4.3,4.6,5.0,5.7,6.1,6.7,6.6,7.2,7.2,7.5,8.0,8.6,8.8,9.3,9.9,10.3,10.3,10.6,11.3,11.6,10.6,11.2,11.3,11.7,11.6,12.4,13.1,13.1,13.6,14.2,14.6,15.5,13.6,13.3,13.8,14.2,14.0,14.3,14.8,14.8,13.8,12.4,10.6,9.3,7.6,,,,,,,,,,,,,,,,Hungary,HU,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_VE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,1.0,,1.2,1.7,2.0,2.4,1.9,,1.8,1.8,,,,,,,2.7,2.8,2.7,2.7,2.9,3.2,3.6,4.2,5.0,5.9,5.7,5.0,6.8,5.4,5.4,5.5,6.0,6.2,6.6,7.0,7.4,7.6,7.7,5.8,5.1,5.0,4.6,4.6,5.6,4.4,4.6,4.7,4.8,4.7,4.4,,,4.7,4.5,,,,,,3.6,3.3,3.0,3.2,2.9,2.9,2.9,2.4,2.2,2.1,2.0,,,,,,,,,,,,,,,,,Venezuela,VE,CHAT,National,-,Total Number,Telegraph Traffic
Telegraph Traffic_Total Number_UY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,1.0,1.1,1.2,1.4,1.4,1.5,1.6,1.7,1.7,1.8,1.8,1.8,1.9,1.9,1.9,1.9,2.0,2.0,2.1,2.1,,,,1.6,1.6,1.8,1.5,1.2,1.0,0.9,1.0,1.0,1.0,1.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uruguay,UY,CHAT,National,-,Total Number,Telegraph Traffic
