ID,2019,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_LK,1,Sri Lanka,National,LK,UNOOSA,Total Number,-,Objects Launched Into Space
