ID,2013,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow Battery Storage_Cumulative Rated Power_GB,100.0,145.0,Flow Battery Storage,United Kingdom,kW,GESDB,Cumulative Rated Power,National,GB
Flow Battery Storage_Cumulative Rated Capacity_GB,1680.0,1880.0,Flow Battery Storage,United Kingdom,kWh,GESDB,Cumulative Rated Capacity,National,GB
