ID,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Compressed Air Energy Storage_Cumulative Rated Power_NL,1000.0,Compressed Air Energy Storage,Netherlands,kW,GESDB,Cumulative Rated Power,National,NL
Compressed Air Energy Storage_Cumulative Rated Capacity_NL,6000.0,Compressed Air Energy Storage,Netherlands,kWh,GESDB,Cumulative Rated Capacity,National,NL
