ID,1987,1988,1994,1996,1997,2000,2004,2009,2010,2011,2012,2013,2014,2015,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-Acid Battery Storage_Cumulative Rated Power_US,500.0,10500.0,30500.0,37750.0,38750.0,48750.0,68750.0,70250.0,70358.0,88608.0,111874.0,113906.0,125006.0,130706.0,143266.0,Lead-Acid Battery Storage,United States,kW,GESDB,Cumulative Rated Power,National,US
Lead-Acid Battery Storage_Cumulative Rated Capacity_US,500.0,40500.0,54500.0,60400.0,61800.0,61800.0,75200.0,75575.0,75975.0,84982.5,104218.5,108551.5,110462.5,121562.5,134182.5,Lead-Acid Battery Storage,United States,kWh,GESDB,Cumulative Rated Capacity,National,US
