ID,2012,2016,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_KP,1,1,North Korea,National,KP,UNOOSA,Total Number,-,Objects Launched Into Space
