ID,2014,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sodium-Based Battery Storage_Cumulative Rated Power_GQ,5000.0,Sodium-Based Battery Storage,Equatorial Guinea,kW,GESDB,Cumulative Rated Power,National,GQ
Sodium-Based Battery Storage_Cumulative Rated Capacity_GQ,10000.0,Sodium-Based Battery Storage,Equatorial Guinea,kWh,GESDB,Cumulative Rated Capacity,National,GQ
