ID,1955,1964,1966,1969,1970,1971,1973,1975,1977,1978,1982,1985,1986,2013,2014,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_ES,3600.0,318600.0,464600.0,553100.0,1363100.0,1453100.0,1668100.0,1896100.0,2256100.0,2389100.0,2914100.0,3601200.0,4740200.0,6740200.0,7765500.0,Pumped Hydro Storage,Spain,kW,GESDB,Cumulative Rated Power,National,ES
Pumped Hydro Storage_Cumulative Rated Capacity_ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pumped Hydro Storage,Spain,kWh,GESDB,Cumulative Rated Capacity,National,ES
