ID,2000,2002,2004,2007,2014,2018,2021,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_SA,2,1,3,6,1,2,2,Saudi Arabia,National,SA,UNOOSA,Total Number,-,Objects Launched Into Space
