ID,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-Ion Battery Storage_Cumulative Rated Power_US,1000.0,9600.0,49631.0,68390.0,137167.0,277986.0,502748.0,1150457.0,1212217.0,1558717.0,1581907.0,1627297.0,Lithium-Ion Battery Storage,United States,kW,GESDB,Cumulative Rated Power,National,US
Lithium-Ion Battery Storage_Cumulative Rated Capacity_US,250.0,4275.0,15529.0,82947.9,114793.92,575791.99,837304.0900000001,1358797.84,1528967.84,1650967.84,1738167.84,1892403.84,Lithium-Ion Battery Storage,United States,kWh,GESDB,Cumulative Rated Capacity,National,US
