ID,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-Ion Battery Storage_Cumulative Rated Power_KE,50.0,Lithium-Ion Battery Storage,Kenya,kW,GESDB,Cumulative Rated Power,National,KE
Lithium-Ion Battery Storage_Cumulative Rated Capacity_KE,100.0,Lithium-Ion Battery Storage,Kenya,kWh,GESDB,Cumulative Rated Capacity,National,KE
