ID,2011,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-Acid Battery Storage_Cumulative Rated Power_CV,28.0,Lead-Acid Battery Storage,Cape Verde,kW,GESDB,Cumulative Rated Power,National,CV
Lead-Acid Battery Storage_Cumulative Rated Capacity_CV,431.76,Lead-Acid Battery Storage,Cape Verde,kWh,GESDB,Cumulative Rated Capacity,National,CV
