ID,1975,1979,1980,1981,1982,1983,1988,1990,1991,1992,1993,1994,1995,1996,1997,1999,2000,2001,2002,2003,2004,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_IN,1,1,1,3,2,2,3,2,1,2,1,2,2,1,2,2,1,2,2,4,1,3,5,4,4,2,7,2,5,4,4,12,9,10,10,3,5,6,India,National,IN,UNOOSA,Total Number,-,Objects Launched Into Space
