ID,2013,2014,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sodium-Based Battery Storage_Cumulative Rated Power_CA,1000.0,2000.0,Sodium-Based Battery Storage,Canada,kW,GESDB,Cumulative Rated Power,National,CA
Sodium-Based Battery Storage_Cumulative Rated Capacity_CA,6500.0,8500.0,Sodium-Based Battery Storage,Canada,kWh,GESDB,Cumulative Rated Capacity,National,CA
