ID,1985,1986,1990,1993,1994,1995,1998,1999,2000,2004,2007,2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_BR,1,1,1,1,1,1,2,4,1,2,1,1,1,1,1,1,2,3,1,4,3,2,3,1,Brazil,National,BR,UNOOSA,Total Number,-,Objects Launched Into Space
