ID,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Technology Name,Data Source,Country Name,Country Code,Spatial Scale,Unit,Metric
Salt Production_Annual production_US,4481864.296351451,4414213.5145197315,5124546.723752792,4075959.6053611315,4735554.728220402,5581189.501116903,6054744.973938943,6376086.187639613,6190046.537602383,6460649.664929262,6511387.7513030525,6697427.4013402825,7154070.178704393,7390847.915115413,7475411.392405063,8219569.992553984,9758625.279225614,10705736.224869695,11111640.915860014,10553521.965748325,10502783.879374534,7644538.346984363,10418220.402084885,10942513.961280715,10435133.097542815,11348418.652271034,11314593.261355175,11619021.779597916,12397005.770662695,13107338.979895756,12363180.379746836,11297680.565897245,9826276.061057335,11669759.865971705,11686672.561429635,12160228.034251675,13547069.061801936,14172838.793745346,12312442.293373045,14240489.575577065,15897933.730454206,19449599.77661951,20971742.36783321,23339519.73194341,24185154.50483991,23677773.64110201,23170392.77736411,24692535.368577812,25199916.23231571,23846900.59568131,25538170.14147431,30950232.688011914,29935470.96053611,31964994.415487714,31626740.50632911,34840152.64333581,37207930.00744601,36531422.189128816,33656263.96128071,38560945.644080415,39068326.50781832,39406580.416976914,44142135.14519732,47017293.37304542,48539435.96425912,53274990.69247952,55981021.965748325,59701814.96649293,63253481.01265822,67819908.78629933,70356813.10498883,67650781.83172002,69003797.46835443,67312527.92256142,71371574.83246464,62915227.10349963,67819908.78629933,66636020.104244225,65790385.33134773,70187686.15040953,61900465.37602383,59701814.96649293,58179672.375279225,53105863.73790022,60209195.830230825,61393084.512285925,56319275.87490692,55981021.965748325,59701814.96649293,59701814.96649293,62407846.239761725,60716576.69396873,58856180.19359642,64606496.649292625,67143400.96798213,69003797.46835443,72555463.51451974,68665543.55919583,69003797.46835443,75092367.83320923,73231971.33283693,71371574.83246464,63760861.87639613,69511178.33209233,76107129.56068504,76107129.56068504,68665543.55919583,76952764.33358154,80166176.47058824,72893717.42367832,73570225.24199553,76952764.33358154,59025307.148175724,72893717.42367832,77798399.10647804,72386336.55994043,67989035.74087863,64268242.74013402,Salt Production,USGS,United States,US,National,metric tons,Annual production
Salt Production_Price_World,86.25474683544303,84.56347728965004,59.194434102755025,67.65078183172002,65.95951228592703,55.81189501116902,57.50316455696203,59.194434102755025,62.57697319434103,65.95951228592703,60.885703648548024,62.57697319434103,64.26824274013403,64.26824274013403,63.08435405807892,65.45213142218913,59.53268801191363,67.81990878629934,75.09236783320922,69.00379746835442,66.29776619508563,83.71784251675354,73.23197133283692,69.51117833209233,67.31252792256143,61.393084512285924,58.51792628443783,57.50316455696203,58.85618019359642,56.82665673864483,56.657529784065524,58.51792628443783,69.17292442293373,68.66554355919583,68.15816269545792,60.885703648548024,57.84141846612063,55.30451414743113,62.57697319434103,57.84141846612063,55.47364110201042,56.15014892032763,52.09110201042442,48.03205510052122,48.03205510052122,48.03205510052122,46.17165860014892,44.14213514519732,41.77435778108712,43.80388123603871,45.49515078183172,40.421342144452716,41.60523082650782,42.95824646314222,57.672291511541324,61.731338421444526,62.74610014892033,67.48165487714073,67.98903574087863,64.60649664929264,64.94475055845122,63.25348101265823,61.05483060312733,59.87094192107222,62.23871928518242,60.04006887565153,59.194434102755025,58.68705323901713,57.672291511541324,53.95149851079672,51.921975055845124,51.752848101265826,47.86292814594192,47.69380119136262,47.69380119136262,50.73808637379002,52.09110201042442,52.09110201042442,54.28975241995533,49.215943782576325,60.04006887565153,54.79713328369322,55.81189501116902,52.76760982874162,50.39983246463142,52.09110201042442,50.39983246463142,50.23070551005212,46.17165860014892,49.04681682799702,47.18642032762472,45.156896872673116,45.32602382725242,45.156896872673116,46.340785554728214,44.31126209977662,43.46562732688012,41.943484735666416,40.928723008190616,41.436103871928516,38.391818689501115,40.928723008190616,41.09784996276992,41.26697691734921,41.09784996276992,41.26697691734921,43.97300819061802,44.48038905435592,45.83340469099032,52.09110201042442,49.04681682799702,47.69380119136262,50.23070551005212,54.458879374534625,56.995783693224126,63.929988830975425,62.57697319434103,62.57697319434103,Salt Production,USGS,World,World,Global,2022 USD/metric ton,Price
Salt Production_Annual production_World,20633488.45867461,20802615.413253907,21309996.27699181,20971742.36783321,22324758.00446761,23170392.77736411,23508646.68652271,,,,,,,29766344.005956814,28582455.323901713,25876424.05063291,28920709.23306031,29766344.005956814,30104597.915115412,33487137.006701414,37038803.05286671,29766344.005956814,39575707.371556215,39406580.416976914,40083088.23529412,42281738.64482502,44311262.09977662,44142135.14519732,45833404.69099032,43465627.32688012,47524674.23678332,41266976.91734922,44311262.09977662,48201182.05510052,51076340.28294862,51921975.05584512,53782371.556217425,51076340.28294862,47186420.32762472,54120625.46537602,56150148.920327626,62069592.33060312,65283004.46760983,69680305.28667162,68327289.65003723,60885703.64854802,64775623.60387193,68496416.60461652,74415860.01489203,72724590.46909903,81350065.15264334,94541967.60982874,91666809.38198064,100292284.06552494,102321807.52047655,109932520.47654505,115344583.02308264,121602280.34251675,126506962.02531645,134794182.79970217,143419657.48324645,143757911.39240506,154751163.44005957,162531003.35070738,166759177.21518987,184348380.49143708,187730919.58302307,201261075.94936708,213099962.76991808,231703927.7736411,246925353.6857781,243542814.5941921,246925353.6857781,262146779.5979151,280750744.60163814,273985666.4184661,272294396.8726731,265529318.6895011,284133283.69322413,292589631.4221891,285824553.2390171,289207092.3306031,277368205.51005214,268911857.7810871,292589631.4221891,292589631.4221891,295972170.5137751,302737248.6969471,314576135.51749814,324723752.7922561,309502326.88011914,341636448.25018615,312884865.97170514,316267405.06329113,323032483.2464631,336562639.61280715,345018987.34177214,373770569.62025315,338253909.15860015,355166604.6165301,329797561.42963517,336562639.61280715,361931682.79970217,380535647.80342513,397448343.26135516,421126116.9024572,441421351.4519732,441421351.4519732,441421351.4519732,448186429.6351452,454951507.8183172,460025316.45569617,438038812.3603872,500615785.5547282,495541976.9173492,490468168.2799702,473555472.8220402,487085629.1883842,Salt Production,USGS,World,World,Global,metric tons,Annual production
