ID,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Technology Name,Data Source,Country Name,Country Code,Spatial Scale,Unit,Metric
Primary Bauxite Production_Annual production_US,39913.961280714815,32472.375279225613,47017.29337304542,82703.08078927774,81857.44601638123,82703.08078927774,129382.12025316455,167943.06589724496,89637.28592702904,221556.3104988831,255381.70141474312,267220.5882352941,273985.66641846613,361931.68279970216,377153.10871183913,510763.40282948624,730628.4437825764,977553.7974683545,1040130.7706626954,647756.2360387193,896372.8592702904,240160.2755026061,532749.9069247952,898064.1288160834,597018.1496649293,544588.7937453463,674816.5487714073,551353.8719285182,644373.6969471333,629152.2710349963,568266.5673864483,336562.63961280714,165575.28853313476,265529.3186895011,290898.3618763961,421126.1169024572,652830.0446760983,730628.4437825764,534441.1764705882,644373.6969471333,754306.2174236783,1610088.6075949366,4464951.600893522,10705736.224869695,4853943.596425912,1686195.7371556216,1894221.8912881608,2063348.8458674608,2503078.927773641,1978785.368577811,2300126.5822784808,3179586.7460908415,2858245.532390171,2722943.968726731,3433277.1779597914,3078110.573343261,2993547.096053611,2435428.145941921,2249388.495904691,2925896.314221891,3433277.1779597914,2114086.9322412508,2350864.668652271,2621467.795979151,2756769.3596425913,2841332.836932241,3078110.573343261,2841332.836932241,2858245.532390171,3162674.0506329113,3585491.4370811614,3416364.4825018616,3111935.964259121,3230324.832464631,3348713.7006701413,3044285.182427401,3365626.3961280715,3399451.7870439314,2824420.1414743112,3078110.573343261,2638380.4914370812,2553817.014147431,1238009.3075204764,1148372.0215934475,1447726.7311988086,1139915.6738644824,862547.4683544304,974171.2583767684,994466.4929262844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary Bauxite Production,USGS,United States,US,National,metric tons,Annual production
Primary Bauxite Production_Price_World,125.15394638868206,120.08013775130306,108.24125093075205,101.47617274758004,96.40236411020103,120.08013775130306,106.54998138495904,108.24125093075205,123.46267684288905,135.30156366344005,121.77140729709605,111.62379002233804,103.16744229337304,109.76339352196575,105.36609270290394,134.28680193596426,72.04808265078184,79.99704951600893,72.89371742367834,94.88022151898734,79.48966865227104,90.48292069992554,64.09911578555473,79.15141474311243,71.37157483246463,67.81990878629934,64.60649664929264,68.83467051377514,69.51117833209233,73.23197133283692,79.15141474311243,87.10038160833953,100.46141102010424,125.49220029784065,146.12568875651527,143.41965748324645,143.25053052866716,133.94854802680567,148.83172002978407,141.22100707371555,132.25727848101266,123.46267684288905,111.96204393149665,110.10164743112433,105.70434661206255,107.56474311243485,97.41712583767685,79.32054169769174,71.54070178704393,69.34205137751303,70.35681310498883,65.79038533134772,67.98903574087863,68.49641660461653,69.51117833209233,75.93800260610573,78.13665301563664,82.87220774385703,83.21046165301564,84.22522338049143,81.85744601638123,87.60776247207743,103.67482315711094,110.27077438570365,110.77815524944154,98.93926842889054,96.74061801935964,106.04260052122115,99.61577624720773,97.92450670141474,86.59300074460164,83.37958860759493,85.74736597170514,77.79839910647803,140.54449925539834,104.18220402084884,115.17545606850334,115.17545606850334,111.45466306775876,96.74061801935964,87.77688942665674,85.74736597170514,93.18895197319434,79.48966865227104,78.98228778853314,74.24673306031274,69.34205137751303,56.657529784065524,55.64276805658972,59.70181496649292,57.50316455696203,61.393084512285924,56.15014892032763,53.10586373790022,47.69380119136262,42.45086559940432,47.18642032762472,41.77435778108712,37.884437825763214,34.84015264333582,35.85491437081161,34.84015264333582,30.442851824274012,28.58245532390171,31.795867460908415,34.84015264333582,36.362295234549514,37.71531087118392,38.56094564408042,35.51666046165302,34.163644825018615,37.37705696202532,34.163644825018615,32.47237527922561,31.11935964259121,32.134121370067014,32.30324832464632,35.51666046165302,34.50189873417721,34.671025688756515,Primary Bauxite Production,USGS,World,World,Global,2022 USD/metric ton,Price
Primary Bauxite Production_Annual production_World,148831.72002978408,179274.57185405807,230012.6582278481,319649.94415487716,224938.8495904691,268911.8577810871,339945.17870439315,454951.5078183172,410978.49962769914,465099.1250930752,602091.9583023082,718789.5569620254,735702.2524199553,911594.2851824274,399139.6128071482,542897.5241995532,1185579.9516008934,1742007.6321667908,1383458.4884586746,962332.3715562174,1523833.8607594937,537823.7155621742,1185579.9516008934,2029523.4549516009,1961872.6731198807,2333951.973194341,2333951.973194341,3179586.7460908415,3433277.1779597914,3636229.5234549516,2756769.3596425913,1944959.9776619507,1691269.5457930006,1860396.5003723009,2249388.495904691,2993547.096053611,4786292.814594192,6342260.796723752,6545213.142218913,7340109.828741623,7424673.306031273,10333656.924795235,14139013.402829485,23677773.64110201,11771236.038719285,5801054.542069992,7373935.2196574835,10688823.529411765,14139013.402829485,13919148.361876396,13834584.884586746,18434838.04914371,21648250.18615041,23339519.73194341,27398566.641846612,30104597.915115412,31795867.460908413,34671025.68875652,36193168.279970214,39068326.50781832,46679039.46388682,49723324.64631422,52598482.874162324,51921975.05584512,56488402.82948622,63253481.01265822,68834670.51377513,75430621.74236783,77798399.10647804,87607762.47207743,97755379.74683544,105027838.79374534,109763393.52196574,119065376.02382725,134625055.84512284,126506962.02531645,130904262.84437825,138514975.80044675,136992833.20923305,144603546.16530156,150861243.48473567,144265292.25614297,134117674.98138496,133102913.25390916,147478704.39314967,142404895.75577065,149169973.93894267,154920290.39463887,164729653.76023826,174200763.21667907,191113458.67460907,187730919.58302307,177583302.30826506,186039650.03723007,179274571.8540581,189422189.12881607,197878536.85778108,206334884.5867461,208026154.1325391,218173771.4072971,230012658.22784808,231703927.7736411,243542814.5941921,258764240.50632912,277368205.51005214,301045979.1511541,326415022.3380491,373770569.62025315,378844378.25763214,353475335.0707371,404213421.44452715,429582464.63142216,427891195.08562917,500615785.5547282,436347542.8145942,497233246.4631422,483703090.0967982,519219750.55845124,573340376.0238272,605474497.3938942,Primary Bauxite Production,USGS,World,World,Global,metric tons,Annual production
