ID,2008,2012,2017,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_VE,2,1,1,Venezuela,National,VE,UNOOSA,Total Number,-,Objects Launched Into Space
