ID,1986,1989,1992,1995,1997,1998,2000,2001,2007,2010,2012,2017,2019,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_SE,1,3,1,1,1,2,2,1,1,2,2,1,1,1,Sweden,National,SE,UNOOSA,Total Number,-,Objects Launched Into Space
