ID,2003,2012,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Nickel-Based Battery_Cumulative Rated Power_US,27000.0,27085.0,Nickel-Based Battery,United States,kW,GESDB,Cumulative Rated Power,National,US
Nickel-Based Battery_Cumulative Rated Capacity_US,6750.0,7600.0,Nickel-Based Battery,United States,kWh,GESDB,Cumulative Rated Capacity,National,US
