ID,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Technology Name,Data Source,Country Name,Country Code,Spatial Scale,Unit,Metric
Graphite_Annual production_US,5158.372114668652,4278.911950856292,10299.831533879375,28920.70923306031,30273.724869694714,38391.81868950112,30442.851824274014,44987.76991809382,3974.4834326135515,12650.696202531646,6443.7369694713325,5547.364110201042,5885.618019359643,7323.197133283693,6646.689314966493,,,,,,,,,,,,,,,,,,,,,,,,,,,4211.261169024572,10925.601265822785,15255.251303052866,8304.133469843633,7492.324087862993,8557.823901712583,6731.252792256143,15272.163998510796,9369.633283693223,7830.577997021594,10942.513961280714,8608.561988086374,9640.236411020103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graphite,USGS,United States,US,National,metric tons,Annual production
Graphite_Price_World,3213.4121370067014,2029.5234549516008,2029.5234549516008,2198.650409530901,2198.650409530901,1860.3965003723008,2029.5234549516008,2536.904318689501,2198.650409530901,2875.158227848101,2367.777364110201,2367.777364110201,2029.5234549516008,2232.475800446761,1928.0472822040208,2908.983618763961,4718.642032762472,4989.245160089352,3196.4994415487713,1961.8726731198808,1231.2442293373044,938.6545979151153,686.6554355919583,563.1927587490692,432.9650037230082,806.7355733432613,979.2450670141474,725.5546351451973,810.1181124348474,786.4403387937454,679.8903574087863,627.4610014892032,527.6760982874163,674.8165487714073,820.2657297096054,708.6419396872673,551.3538719285182,553.0451414743112,487.0856291883842,432.9650037230082,622.3871928518242,1014.7617274758004,1065.4998138495905,566.5752978406553,842.2522338049143,664.6689314966493,624.0784623976173,471.8642032762472,495.5419769173492,505.6895941921072,603.7832278481012,647.7562360387193,771.2189128816083,625.7697319434103,634.2260796723752,558.1189501116902,607.1657669396873,547.9713328369322,466.7903946388682,429.58246463142217,373.7705696202532,456.6427773641102,514.1459419210722,382.2269173492182,404.21342144452717,395.75707371556217,421.12611690245717,378.8443782576322,321.34121370067015,343.15859084139987,357.1961280714817,356.3504932985852,400.49262844378256,367.17461839166043,410.4711187639613,475.41586932241256,442.09785927029037,457.65753909158605,544.9270476545048,640.9911578555473,985.3336373790022,971.8034810126583,928.6761075949368,834.4723938942665,732.4888402829487,867.2830230826506,1020.8502978406552,988.3779225614296,1005.4597449739389,1203.0000279225612,1479.3534717051377,1311.0721518987343,1008.1657762472078,1093.2366344005957,942.2062639612807,897.0493670886075,941.3606291883842,957.9350707371556,955.3981664184661,1029.137518615041,855.7823901712584,696.1265450483992,757.6887565152643,698.4943224125093,684.9641660461652,757.6887565152643,755.9974869694713,845.6347728965004,1057.6036375388135,1152.6126596082067,1007.5809747324125,1387.331250607012,1452.8005398361877,1361.4719843633657,1210.9489947877885,1454.4918093819806,1402.0624534623976,1270.1434288905434,1002.9228406552494,1207.5664556962024,Graphite,USGS,World,World,Global,2022 USD/metric ton,Price
Graphite_Annual production_World,138007.59493670886,130396.88198064035,138007.59493670886,130396.88198064035,130396.88198064035,153398.14780342518,175892.03276247208,184348.38049143707,161177.98771407298,161177.98771407298,161177.98771407298,184348.38049143707,199569.8064035741,230012.6582278481,175892.03276247208,191113.45867460908,290898.3618763961,353475.3350707372,306119.78778853314,206334.88458674608,199569.8064035741,153398.14780342518,175892.03276247208,161177.98771407298,161177.98771407298,206334.88458674608,230012.6582278481,260455.51005212212,253690.4318689501,253690.4318689501,199569.8064035741,130396.88198064035,122786.16902457185,145787.43484735666,184348.38049143707,245234.0841399851,253690.4318689501,268911.8577810871,299354.7096053611,375461.8391660462,429582.4646314222,390683.26507818315,460025.3164556962,468481.6641846612,444803.89054355916,230012.6582278481,161177.98771407298,206334.88458674608,275676.9359642591,284133.28369322413,268911.8577810871,329797.56142963516,299354.7096053611,284133.28369322413,284133.28369322413,460025.3164556962,444803.89054355916,629152.2710349963,537823.7155621742,629152.2710349963,735702.2524199553,698494.3224125092,904829.2069992553,1148372.0215934475,1048587.1183916605,1026600.6142963514,818574.4601638124,605474.4973938942,739084.7915115413,635917.3492181683,664668.9314966493,666360.2010424422,610548.3060312732,668051.4705882353,840560.9642591213,762762.5651526434,759380.0260610573,833795.8860759493,903137.9374534624,1058734.7356664184,1009687.9188384215,996157.7624720774,950493.4847356664,1021526.8056589725,1057043.4661206254,987701.4147431124,1057043.4661206254,1087486.3179448994,972479.9888309754,1708182.2412509308,1599940.9903201787,1303968.8198064035,1133150.5956813104,1095942.6656738645,874386.3551749814,987701.4147431124,938654.5979151154,1158519.6388682055,1101016.4743112435,1170358.5256887565,1430814.0357408787,1380075.9493670885,1576263.2166790767,1689578.2762472078,1708182.2412509308,1742007.6321667908,1725094.9367088608,1894221.8912881608,1775833.0230826507,1261687.0811615784,1758920.3276247208,2012610.759493671,2046436.1504095308,1182197.4125093075,1530598.9389426657,1550894.1734921816,1375002.1407297095,1488317.2002978406,1877309.1958302308,1860396.5003723009,Graphite,USGS,World,World,Global,metric tons,Annual production
