ID,1979,1981,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_BE,1164000.0,1307000.0,Pumped Hydro Storage,Belgium,kW,GESDB,Cumulative Rated Power,National,BE
Pumped Hydro Storage_Cumulative Rated Capacity_BE,5820000.0,5820000.0,Pumped Hydro Storage,Belgium,kWh,GESDB,Cumulative Rated Capacity,National,BE
