ID,1978,1989,1991,1995,1996,2003,2019,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_CZ,1,1,1,1,1,1,1,2,Czechia,National,CZ,UNOOSA,Total Number,-,Objects Launched Into Space
