ID,2007,2018,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_CO,1,1,Colombia,National,CO,UNOOSA,Total Number,-,Objects Launched Into Space
