ID,1962,1977,1978,1979,1980,1981,1982,1983,1984,Country Name,Country Code,Spatial Scale,Unit,Technology Name,Metric,Data Source
Electronic Ignition_Share of Market_US,0.0,0.02,0.05,0.11,0.11,0.45,0.7,0.98,1.0,United States,US,National,%,Electronic Ignition,Share of Market,OWID
