ID,1999,2003,2008,2013,2014,2015,2016,2018,2019,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_DK,1,2,1,2,1,1,1,2,1,Denmark,National,DK,UNOOSA,Total Number,-,Objects Launched Into Space
