ID,2016,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Compressed Air Energy Storage_Cumulative Rated Power_CN,100.0,60100.0,Compressed Air Energy Storage,China,kW,GESDB,Cumulative Rated Power,National,CN
Compressed Air Energy Storage_Cumulative Rated Capacity_CN,50.0,300050.0,Compressed Air Energy Storage,China,kWh,GESDB,Cumulative Rated Capacity,National,CN
