ID,1996,2000,2006,2009,2014,2018,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_MY,2,1,1,2,1,2,1,Malaysia,National,MY,UNOOSA,Total Number,-,Objects Launched Into Space
