ID,2013,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_EC,2,Ecuador,National,EC,UNOOSA,Total Number,-,Objects Launched Into Space
