ID,2013,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Nickel-Based Battery_Cumulative Rated Power_JP,300.0,Nickel-Based Battery,Japan,kW,GESDB,Cumulative Rated Power,National,JP
Nickel-Based Battery_Cumulative Rated Capacity_JP,75.0,Nickel-Based Battery,Japan,kWh,GESDB,Cumulative Rated Capacity,National,JP
