ID,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flywheel Battery Storage_Cumulative Rated Power_IE,2000.0,2320.0,Flywheel Battery Storage,Ireland,kW,GESDB,Cumulative Rated Power,National,IE
Flywheel Battery Storage_Cumulative Rated Capacity_IE,4000.0,4256.0,Flywheel Battery Storage,Ireland,kWh,GESDB,Cumulative Rated Capacity,National,IE
