ID,2013,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow Battery Storage_Cumulative Rated Power_PT,5.0,Flow Battery Storage,Portugal,kW,GESDB,Cumulative Rated Power,National,PT
Flow Battery Storage_Cumulative Rated Capacity_PT,60.0,Flow Battery Storage,Portugal,kWh,GESDB,Cumulative Rated Capacity,National,PT
