ID,2013,2014,2015,2016,2017,2018,Country Name,Country Code,Spatial Scale,Unit,Technology Name,Metric,Data Source
Households With Only Mobile Phones (No Landlines)_Share of Households_US,0.4,0.45299999999999996,0.506,0.527,0.54,0.5489999999999999,United States,US,National,%,Households With Only Mobile Phones (No Landlines),Share of Households,OWID
