Country Name,1964,1972,1975,1977,1981,1982,1985,1986,1989,1990,1991,1992,1994,1995,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Country Code,Technology Name,Data Source,Unit,Metric,Spatial Scale,ID
Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,RS,High Speed Rail,International Union of Railways,km,Number of Units,National,High Speed Rail_Number of Units_RS
South Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,182.0,61.0,230.0,0.0,0.0,0.0,0.0,0.0,KR,High Speed Rail,International Union of Railways,km,Number of Units,National,High Speed Rail_Number of Units_KR
Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,21.0,103.5,118.0,100.0,33.0,151.66666666666666,85.0,6.0,148.0,0.0,128.25,0.0,0.0,0.0,164.0,78.5,86.5,64.0,ES,High Speed Rail,International Union of Railways,km,Number of Units,National,High Speed Rail_Number of Units_ES
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,180.0,30.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SE,High Speed Rail,International Union of Railways,km,Number of Units,National,High Speed Rail_Number of Units_SE
Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,18.0,0.0,0.0,CH,High Speed Rail,International Union of Railways,km,Number of Units,National,High Speed Rail_Number of Units_CH
Taiwan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,TW,High Speed Rail,International Union of Railways,km,Number of Units,National,High Speed Rail_Number of Units_TW
The Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NL,High Speed Rail,International Union of Railways,km,Number of Units,National,High Speed Rail_Number of Units_NL
Türkiye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,212.0,0.0,0.0,257.0,0.0,23.0,0.0,0.0,0.0,0.0,315.0,102.0,TR,High Speed Rail,International Union of Railways,km,Number of Units,National,High Speed Rail_Number of Units_TR
United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,High Speed Rail,International Union of Railways,km,Number of Units,National,High Speed Rail_Number of Units_GB
Usa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,High Speed Rail,International Union of Railways,km,Number of Units,National,High Speed Rail_Number of Units_US
