ID,2008,2009,2010,2011,2012,2013,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sensible Heat Storage_Cumulative Rated Power_ES,50000.0,101400.0,201300.0,271200.0,451200.0,650200.0,Sensible Heat Storage,Spain,kW,GESDB,Cumulative Rated Power,National,ES
Sensible Heat Storage_Cumulative Rated Capacity_ES,375000.0,750700.0,1499950.0,2173450.0,3313450.0,4929450.0,Sensible Heat Storage,Spain,kWh,GESDB,Cumulative Rated Capacity,National,ES
